Movie_Title,MPAA,Distributor,Genre,Rotten_Tomatoes_Rating
Friday the 13th Part V: A New Beginning,0,Paramount Pictures,Horror,0.0
Friday the 13th Part VI: Jason Lives,0,Paramount Pictures,Horror,0.0
Friday the 13th Part VII: The New Blood,0,Paramount Pictures,Horror,0.0
Per un pugno di dollari,0,United Artists,Western,0.0
The Fall of the Roman Empire,0,0,0,100.0
Friday the 13th Part 2,0,0,Horror,33.0
Faithful,R,New Line,Black Comedy,7.0
Fair Game,R,Warner Bros.,Action,13.0
A Few Good Men,0,Sony Pictures,Drama,83.0
The Fugitive,PG-13,Warner Bros.,Thriller/Suspense,94.0
From Here to Eternity,0,0,0,86.0
First Morning,PG-13,Illuminare,Drama,0.0
Shooting Fish,PG,Fox Searchlight,0,0.0
F.I.S.T,0,United Artists,Drama,0.0
Flashdance,0,Paramount Pictures,Drama,29.0
Fled,R,MGM,Action,14.0
Flash Gordon,0,Universal,Action,81.0
The Flintstones,PG,Universal,Comedy,20.0
Flight of the Intruder,0,Paramount Pictures,Action,0.0
Flatliners,R,Sony Pictures,Thriller/Suspense,52.0
The Flower of Evil,R,0,0,64.0
Funny Ha Ha,Not Rated,Goodbye Cruel Releasing,Comedy,0.0
The Funeral,R,October Films,Drama,83.0
Fantasia,0,Walt Disney Pictures,Musical,98.0
Fantasia 2000 (IMAX),G,Walt Disney Pictures,Musical,0.0
The Fog,0,Avco Embassy,Horror,69.0
Forrest Gump,PG-13,Paramount Pictures,Drama,70.0
Fortress,0,Miramax,Action,36.0
Fiddler on the Roof,0,United Artists,Musical,88.0
The Front Page,0,Universal,Comedy,67.0
First Blood,R,Orion Pictures,Action,0.0
Friday,R,New Line,Comedy,77.0
Freeze Frame,R,First Look,Thriller/Suspense,83.0
Firefox,0,Warner Bros.,Action,42.0
Fargo,R,Gramercy,Thriller/Suspense,94.0
First Knight,PG-13,Sony Pictures,Drama,45.0
From Russia With Love,0,MGM,Action,0.0
The Firm,R,Paramount Pictures,Thriller/Suspense,76.0
Frenzy,0,Universal,0,87.0
Footloose,0,Paramount Pictures,Musical,56.0
Fast Times at Ridgemont High,0,Universal,Comedy,80.0
Fighting Tommy Riley,R,Freestyle Releasing,Drama,0.0
The First Wives Club,PG,Paramount Pictures,Comedy,41.0
Flirting with Disaster,R,Miramax,Comedy,86.0
For Your Eyes Only,0,MGM,Action,71.0
Fiza,Not Rated,Video Sound,Drama,0.0
Grip: A Criminal's Story,Not Rated,JeTi Films,Action,0.0
The Ghost and the Darkness,R,Paramount Pictures,Action,51.0
Gallipoli,0,0,0,86.0
Gabriela,R,Power Point Films,Drama,0.0
"Il buono, il brutto, il cattivo",0,United Artists,Western,0.0
Graduation Day,0,0,Thriller/Suspense,0.0
The Godfather: Part II,0,Paramount Pictures,0,0.0
The Godfather: Part III,0,Paramount Pictures,Drama,0.0
Goodfellas,0,Warner Bros.,Drama,97.0
The Godfather,0,Paramount Pictures,0,100.0
God's Army,PG,Excel Entertainment,Drama,50.0
The Great Escape,0,MGM,0,91.0
Gory Gory Hallelujah,Not Rated,Indican Pictures,Musical,0.0
Ghost,0,Paramount Pictures,Drama,81.0
Ghostbusters,PG,Sony Pictures,Comedy,0.0
Girl 6,R,Fox Searchlight,Comedy,34.0
Goldeneye,PG-13,MGM,Action,80.0
The Glimmer Man,R,Warner Bros.,Action,13.0
Glory,0,Sony Pictures,Action,93.0
The Gambler,R,0,Drama,0.0
Good Morning Vietnam,0,Walt Disney Pictures,Comedy,0.0
Gandhi,0,Sony Pictures,Drama,85.0
A Guy Named Joe,0,MGM,Drama,0.0
Gentleman's Agreement,0,0,0,83.0
Goodbye Bafana,0,Paramount Vantage,Drama,0.0
Get on the Bus,R,Sony Pictures,Drama,87.0
The Golden Child,0,Paramount Pictures,Action,26.0
Good Dick,R,Present Pictures/Morning Knight,Drama,0.0
Goldfinger,0,MGM,Action,96.0
Groundhog Day,PG,Sony/Columbia,Comedy,96.0
Gremlins,0,Warner Bros.,Comedy,78.0
Get Real,R,Paramount Pictures,Comedy,0.0
Gremlins 2: The New Batch,0,Warner Bros.,Comedy,0.0
The Greatest Story Ever Told,G,MGM,Drama,39.0
The Gospel of John,PG-13,ThinkFilm,Drama,0.0
The Greatest Show on Earth,0,0,0,41.0
The First Great Train Robbery,0,United Artists,Action,0.0
Get Shorty,R,MGM,Comedy,86.0
Gettysburg,0,New Line,Drama,87.0
Guiana 1838,Not Rated,RBC Radio,Drama,0.0
Gone with the Wind,G,MGM,Drama,97.0
Happiness,Not Rated,Good Machine Releasing,Comedy,84.0
Harley Davidson and the Marlboro Man,0,MGM,Action,27.0
Heavy Metal,0,Sony/Columbia,Adventure,60.0
Hell's Angels,0,0,0,90.0
Heartbeeps,0,Universal,Comedy,0.0
The Helix...  Loaded,R,Romar,Comedy,0.0
Hang 'em High,0,United Artists,Western,93.0
Hellraiser,0,New World,Horror,63.0
Hero,0,Sony Pictures,Comedy,0.0
Highlander III: The Sorcerer,PG-13,Miramax,Action,0.0
Highlander,R,20th Century Fox,Action,66.0
How Green Was My Valley,0,20th Century Fox,0,88.0
High Noon,0,0,0,95.0
History of the World: Part I,0,20th Century Fox,Comedy,0.0
"Hello, Dolly",0,0,0,0.0
Halloween II,0,Universal,Horror,27.0
Halloween 3: Season of the Witch,0,Universal,Horror,0.0
Halloween 4: The Return of Michael Myers,0,Universal,Horror,23.0
Halloween 5: The Revenge of Michael Myers,0,Galaxy International Releasing,Horror,14.0
Halloween:  The Curse of Michael Myers,R,Miramax,Horror,0.0
Halloween,0,0,Horror,93.0
Home Alone 2: Lost in New York,PG,20th Century Fox,Comedy,21.0
Home Alone,PG,20th Century Fox,Comedy,47.0
Home Movies,0,0,0,0.0
Hum to Mohabbt Karega,Not Rated,0,Drama,0.0
The Hotel New Hampshire,0,Orion Pictures,Drama,69.0
Henry V,PG-13,Goldwyn Entertainment,Action,100.0
Housefull,0,Eros Entertainment,0,0.0
Hook,0,Sony Pictures,Adventure,24.0
House Party 2,0,New Line,Comedy,25.0
Hocus Pocus,0,Walt Disney Pictures,Comedy,29.0
The Howling,0,0,0,60.0
High Plains Drifter,0,Universal,Western,0.0
Hoop Dreams,PG-13,Fine Line,Documentary,98.0
Happy Gilmore,PG-13,Universal,Comedy,58.0
The Hudsucker Proxy,PG,Warner Bros.,Comedy,58.0
A Hard Day's Night,0,Universal,Comedy,100.0
Heroes,R,Eros Entertainment,Adventure,0.0
The Hunt for Red October,0,Paramount Pictures,Thriller/Suspense,95.0
Harper,0,0,0,0.0
Harriet the Spy,PG,Paramount Pictures,Adventure,45.0
Le hussard sur le toit,R,Miramax,Drama,0.0
The Hustler,0,0,0,97.0
Hud,0,0,0,79.0
Hudson Hawk,0,Sony Pictures,Action,20.0
Heaven's Gate,0,0,0,0.0
Hav Plenty,R,Miramax,Comedy,0.0
House of Wax,R,0,0,94.0
Hawaii,0,MGM,0,0.0
Howard the Duck,0,Universal,Action,16.0
High Anxiety,0,0,0,73.0
Hybrid,Not Rated,Indican Pictures,Documentary,0.0
It's a Wonderful Life,0,0,0,94.0
The Ice Pirates,0,MGM/UA Classics,Comedy,11.0
Independence Day,PG-13,20th Century Fox,Adventure,61.0
The Island of Dr. Moreau,PG-13,New Line,Adventure,23.0
Iraq for Sale: The War Profiteers,0,0,Documentary,100.0
In Her Line of Fire,R,Regent Releasing,Action,0.0
The Indian in the Cupboard,PG,Paramount Pictures,Adventure,68.0
I Love You Ö Don't Touch Me!,0,MGM,0,0.0
Illuminata,R,Artisan,Drama,0.0
In Cold Blood,0,0,0,88.0
In the Company of Men,R,Sony Pictures Classics,Drama,89.0
The Inkwell,R,Walt Disney Pictures,Comedy,29.0
Invaders from Mars,0,Cannon,Horror,27.0
L'incomparable mademoiselle C.,Not Rated,0,0,0.0
Intolerance,0,0,0,96.0
The Island,PG-13,Universal,Adventure,0.0
Eye See You,Not Rated,0,0,0.0
In the Heat of the Night,0,MGM,0,96.0
Jack,PG-13,Walt Disney Pictures,Drama,17.0
Jade,R,Paramount Pictures,Thriller/Suspense,16.0
Jingle All the Way,PG,20th Century Fox,Comedy,16.0
Dr. No,0,MGM,Action,0.0
The Jungle Book,PG,Walt Disney Pictures,Adventure,0.0
Judge Dredd,R,Walt Disney Pictures,Action,15.0
The Jerky Boys,R,Walt Disney Pictures,Comedy,10.0
Jefferson in Paris,PG-13,Walt Disney Pictures,Drama,36.0
JFK,R,Warner Bros.,Drama,83.0
Journey from the Fall,R,Imaginasian,Drama,92.0
Jekyll and Hyde... Together Again,0,Universal,Comedy,0.0
Jumanji,PG,Sony Pictures,Adventure,48.0
The Juror,R,Sony Pictures,Thriller/Suspense,16.0
Jerusalema,R,Anchor Bay Entertainment,0,0.0
Jurassic Park,PG-13,Universal,Action,87.0
Johnny Suede,0,Miramax,Drama,0.0
Jaws,PG,Universal,Horror,100.0
Jaws 2,PG,Universal,Horror,56.0
Jaws 4: The Revenge,PG-13,Universal,Horror,0.0
Kabhi Alvida Naa Kehna,Not Rated,Yash Raj Films,Drama,67.0
Kickboxer,0,Cannon,Action,0.0
Kids,Not Rated,Shining Excalibur,Drama,50.0
Kingpin,R,MGM,Comedy,51.0
Kindergarten Cop,0,Universal,Comedy,50.0
King Kong (1933),0,0,0,0.0
King Kong,0,0,0,46.0
Kiss of Death,R,20th Century Fox,Drama,67.0
The Kings of Appletown,0,0,Action,0.0
Koltchak,0,0,0,0.0
Kingdom of the Spiders,0,0,0,44.0
